sk_cliente,sk_pais,sk_estado_cliente,sk_tiempo_cliente_desde,mrr,arr,cantidad_cliente,flag_cliente_pago,flag_activo,flag_cancelado,flag_past_due,riesgo_churn
89,1.0,2,309.0,16667.0,200004.0,1,1,1,0,0,Bajo
90,3.0,2,309.0,30000.0,360000.0,1,1,1,0,0,Bajo
91,4.0,2,320.0,25000.0,300000.0,1,1,1,0,0,Bajo
92,7.0,2,327.0,20000.0,240000.0,1,1,1,0,0,Bajo
93,1.0,1,327.0,0.0,0.0,1,0,0,1,0,Churned
94,3.0,1,334.0,0.0,0.0,1,0,0,1,0,Churned
95,3.0,1,342.0,0.0,0.0,1,0,0,1,0,Churned
96,4.0,1,349.0,0.0,0.0,1,0,0,1,0,Churned
97,3.0,2,349.0,29000.0,348000.0,1,1,1,0,0,Bajo
98,3.0,1,357.0,0.0,0.0,1,0,0,1,0,Churned
99,1.0,1,362.0,0.0,0.0,1,0,0,1,0,Churned
100,6.0,1,363.0,0.0,0.0,1,0,0,1,0,Churned
101,1.0,3,364.0,20000.0,240000.0,1,1,0,0,1,Alto
102,4.0,2,364.0,25000.0,300000.0,1,1,1,0,0,Bajo
103,6.0,1,364.0,0.0,0.0,1,0,0,1,0,Churned
104,4.0,2,365.0,30000.0,360000.0,1,1,1,0,0,Bajo
105,3.0,1,365.0,0.0,0.0,1,0,0,1,0,Churned
106,3.0,2,366.0,25000.0,300000.0,1,1,1,0,0,Bajo
107,1.0,2,370.0,40000.0,480000.0,1,1,1,0,0,Bajo
108,1.0,2,372.0,30000.0,360000.0,1,1,1,0,0,Bajo
109,3.0,1,372.0,0.0,0.0,1,0,0,1,0,Churned
110,3.0,1,372.0,0.0,0.0,1,0,0,1,0,Churned
111,1.0,1,376.0,0.0,0.0,1,0,0,1,0,Churned
112,3.0,1,385.0,0.0,0.0,1,0,0,1,0,Churned
113,4.0,2,388.0,20000.0,240000.0,1,1,1,0,0,Bajo
114,3.0,1,391.0,0.0,0.0,1,0,0,1,0,Churned
115,1.0,1,397.0,0.0,0.0,1,0,0,1,0,Churned
116,6.0,2,397.0,35900.0,430800.0,1,1,1,0,0,Bajo
117,3.0,1,399.0,0.0,0.0,1,0,0,1,0,Churned
118,7.0,1,402.0,0.0,0.0,1,0,0,1,0,Churned
119,3.0,1,403.0,0.0,0.0,1,0,0,1,0,Churned
120,1.0,1,405.0,0.0,0.0,1,0,0,1,0,Churned
121,4.0,1,406.0,0.0,0.0,1,0,0,1,0,Churned
122,1.0,1,406.0,0.0,0.0,1,0,0,1,0,Churned
123,3.0,1,420.0,0.0,0.0,1,0,0,1,0,Churned
124,4.0,1,424.0,0.0,0.0,1,0,0,1,0,Churned
125,4.0,1,427.0,0.0,0.0,1,0,0,1,0,Churned
126,7.0,2,430.0,20000.0,240000.0,1,1,1,0,0,Bajo
127,1.0,1,433.0,0.0,0.0,1,0,0,1,0,Churned
128,1.0,2,435.0,20833.0,249996.0,1,1,1,0,0,Bajo
129,3.0,1,439.0,0.0,0.0,1,0,0,1,0,Churned
130,1.0,2,440.0,42500.0,510000.0,1,1,1,0,0,Bajo
131,3.0,1,441.0,0.0,0.0,1,0,0,1,0,Churned
132,1.0,1,444.0,0.0,0.0,1,0,0,1,0,Churned
133,3.0,1,446.0,0.0,0.0,1,0,0,1,0,Churned
134,4.0,1,448.0,0.0,0.0,1,0,0,1,0,Churned
135,1.0,1,452.0,0.0,0.0,1,0,0,1,0,Churned
136,4.0,2,454.0,20833.0,249996.0,1,1,1,0,0,Bajo
137,7.0,2,461.0,20833.0,249996.0,1,1,1,0,0,Bajo
138,3.0,2,461.0,12417.0,149004.0,1,1,1,0,0,Bajo
139,4.0,2,465.0,39900.0,478800.0,1,1,1,0,0,Bajo
140,3.0,1,466.0,0.0,0.0,1,0,0,1,0,Churned
141,4.0,1,467.0,0.0,0.0,1,0,0,1,0,Churned
142,3.0,1,468.0,0.0,0.0,1,0,0,1,0,Churned
143,3.0,1,469.0,0.0,0.0,1,0,0,1,0,Churned
144,1.0,2,469.0,25000.0,300000.0,1,1,1,0,0,Bajo
145,1.0,1,473.0,0.0,0.0,1,0,0,1,0,Churned
146,1.0,1,473.0,0.0,0.0,1,0,0,1,0,Churned
147,1.0,2,474.0,27500.0,330000.0,1,1,1,0,0,Bajo
148,1.0,2,476.0,25000.0,300000.0,1,1,1,0,0,Bajo
149,6.0,1,481.0,0.0,0.0,1,0,0,1,0,Churned
150,4.0,1,482.0,0.0,0.0,1,0,0,1,0,Churned
151,1.0,2,489.0,20000.0,240000.0,1,1,1,0,0,Bajo
152,4.0,2,494.0,20833.0,249996.0,1,1,1,0,0,Bajo
153,4.0,1,495.0,0.0,0.0,1,0,0,1,0,Churned
154,8.0,1,503.0,0.0,0.0,1,0,0,1,0,Churned
155,3.0,3,504.0,30000.0,360000.0,1,1,0,0,1,Alto
156,3.0,1,507.0,0.0,0.0,1,0,0,1,0,Churned
157,4.0,1,509.0,0.0,0.0,1,0,0,1,0,Churned
158,8.0,2,510.0,24917.0,299004.0,1,1,1,0,0,Bajo
159,1.0,1,511.0,0.0,0.0,1,0,0,1,0,Churned
160,1.0,2,514.0,25000.0,300000.0,1,1,1,0,0,Bajo
161,1.0,1,514.0,0.0,0.0,1,0,0,1,0,Churned
162,1.0,2,521.0,30000.0,360000.0,1,1,1,0,0,Bajo
163,3.0,1,532.0,0.0,0.0,1,0,0,1,0,Churned
164,3.0,1,535.0,0.0,0.0,1,0,0,1,0,Churned
165,3.0,1,537.0,0.0,0.0,1,0,0,1,0,Churned
166,3.0,3,537.0,28030.0,336360.0,1,1,0,0,1,Alto
167,4.0,1,537.0,0.0,0.0,1,0,0,1,0,Churned
168,1.0,2,539.0,33250.0,399000.0,1,1,1,0,0,Bajo
169,4.0,1,542.0,0.0,0.0,1,0,0,1,0,Churned
170,8.0,1,546.0,0.0,0.0,1,0,0,1,0,Churned
171,8.0,1,551.0,0.0,0.0,1,0,0,1,0,Churned
172,4.0,1,552.0,0.0,0.0,1,0,0,1,0,Churned
173,4.0,2,557.0,25000.0,300000.0,1,1,1,0,0,Bajo
174,1.0,2,558.0,29900.0,358800.0,1,1,1,0,0,Bajo
175,7.0,2,559.0,39900.0,478800.0,1,1,1,0,0,Bajo
176,3.0,1,561.0,0.0,0.0,1,0,0,1,0,Churned
177,4.0,2,563.0,15000.0,180000.0,1,1,1,0,0,Bajo
178,3.0,2,565.0,33333.0,399996.0,1,1,1,0,0,Bajo
179,1.0,1,566.0,0.0,0.0,1,0,0,1,0,Churned
180,4.0,1,568.0,0.0,0.0,1,0,0,1,0,Churned
181,3.0,1,573.0,0.0,0.0,1,0,0,1,0,Churned
182,7.0,2,573.0,25000.0,300000.0,1,1,1,0,0,Bajo
183,3.0,2,577.0,24917.0,299004.0,1,1,1,0,0,Bajo
