name,label,type,fieldType
hs_date_exited_subscriber,Date exited 'Suscriptor (Lifecycle Stage Pipeline)',datetime,calculation_read_time
hs_employee_range,Employee range,string,text
hs_excluded_from_cross_account_data_mirroring,Excluded from cross-account data mirroring,bool,booleancheckbox
hs_geohash_1,geohash_1,string,text
hs_geohash_2,geohash_2,string,text
hs_geohash_3,geohash_3,string,text
hs_geohash_4,geohash_4,string,text
hs_geohash_5,geohash_5,string,text
hs_geohash_6,geohash_6,string,text
hs_gps_error,GPS Error,string,text
hs_gps_latitude,Latitudes,string,text
hs_gps_longitude,Longitudes,string,text
hs_ideal_customer_profile,Ideal Customer Profile Tier,enumeration,radio
hs_industry_group,Industry group,string,text
hs_inferred_domain,Inferred Domain,string,text
hs_intent_page_views_last_30_days,Tracked Page Views (Last 30 Days),number,number
hs_intent_paid_up_to_date,Intent paid up to date,date,date
hs_intent_signals_enabled,Intent Signals active,bool,booleancheckbox
hs_intent_visitors_last_30_days,Tracked Visitors (Last 30 Days),number,number
hs_is_enriched,Has been enriched,bool,booleancheckbox
hs_is_intent_monitored,Is Intent Monitored,bool,booleancheckbox
hs_is_target_account,Target Account,bool,booleancheckbox
hs_keywords,Company Keywords,enumeration,checkbox
hs_last_booked_meeting_date,Last Booked Meeting Date,datetime,date
hs_last_logged_call_date,Last Logged Call Date,datetime,date
hs_last_logged_outgoing_email_date,Last Logged Outgoing Email Date,datetime,calculation_rollup
hs_last_metered_enrichment_timestamp,Last Metered Enrichment Timestamp,datetime,date
hs_last_open_task_date,Last Open Task Date,datetime,date
hs_last_sales_activity_date,last sales activity date old,datetime,date
hs_last_sales_activity_timestamp,Last Engagement Date,datetime,date
hs_last_sales_activity_type,Last Engagement Type,enumeration,select
hs_lastmodifieddate,Last Modified Date,datetime,date
hs_latest_createdate_of_active_subscriptions,Latest create date of active subscriptions,datetime,calculation_rollup
hs_latest_intent_signal_occurred_at,Latest Intent Signal Occurred At,datetime,date
hs_latest_intent_signal_timestamp,Latest Intent Signal Timestamp,number,number
hs_latest_meeting_activity,Latest meeting activity,datetime,date
hs_latest_prospecting_agent_monitoring_date,Latest prospecting agent monitoring date,number,calculation_rollup
hs_latest_suggested_contact_timestamp,Latest Suggested Contact Timestamp,number,number
hs_latitude,Latitude,number,number
hs_lead_status,Lead Status,enumeration,radio
hs_linkedin_handle,Linkedin handle,string,text
hs_live_enrichment_deadline,Live enrichment deadline,datetime,date
hs_logo_url,Logo URL,string,text
hs_longitude,Longitude,number,number
hs_max_recommendation_score,Max recommendation score,number,calculation_rollup
hs_merged_object_ids,Merged Company IDs,enumeration,checkbox
hs_most_recent_de_anonymized_visit,Last Tracked Visit Time,datetime,date
hs_notes_last_activity,Last Activity,object_coordinates,text
hs_notes_next_activity,Next Activity,object_coordinates,text
hs_notes_next_activity_type,Next Activity Type,enumeration,select
hs_num_blockers,Number of blockers,number,number
hs_num_child_companies,Number of child companies,number,number
hs_num_contacts_with_buying_roles,Number of contacts with a buying role,number,number
hs_num_decision_makers,Number of decision makers,number,number
hs_num_open_deals,Number of open deals,number,number
hs_object_id,Record ID,number,number
hs_object_source,Record creation source,string,text
hs_object_source_detail_1,Record source detail 1,string,text
hs_object_source_detail_2,Record source detail 2,string,text
hs_object_source_detail_3,Record source detail 3,string,text
hs_object_source_id,Record creation source ID,string,text
hs_object_source_label,Record source,enumeration,select
hs_object_source_user_id,Record creation source user ID,number,number
hs_owning_teams,Owning Teams,enumeration,checkbox
hs_paid_for_intent_signals,Paid for Intent Signals,bool,booleancheckbox
hs_parent_company_id,Parent Company,number,number
hs_pinned_engagement_id,Pinned Engagement ID,number,number
hs_pipeline,Pipeline,enumeration,select
hs_plays,Plays,enumeration,calculation_rollup
hs_predictivecontactscore_v2,Likelihood to close,number,number
hs_predictivecontactscore_v2_next_max_max_d4e58c1e,hs_predictivecontactscore_v2_next_max_max_d4e58c1e,number,text
hs_quick_context,Quick context,string,html
hs_read_only,Read only object,bool,booleancheckbox
hs_reason_to_reach_out,Reason To Reach Out,string,textarea
hs_recent_intent_signals,Recent Intent Signals,enumeration,checkbox
hs_research_agent_execution_id,Research Agent Execution Id,string,text
